customer_id,first_name,last_name,date_of_birth,gender,email,phone_number,address,city,country,occupation,income_bracket,customer_since
1f04bd51-adf9-4a06-a366-2eb244fcbf33,Amy,Morris,1986-10-05,Female,nathanielcole@example.com,001-257-278-1641,"5749 Golden Squares Apt. 527, Montoyaton, PR 98175",North Amber,Afghanistan,Lawyer,low,2024-06-12
ec087428-6b7e-41e0-aa44-ffb75be0f871,John,Fowler,1948-06-06,Male,rogercrawford@example.com,371.212.8375,"51992 Deborah Highway Apt. 131, New Terri, PA 94452",Hollyland,Turkey,Lawyer,high,2023-08-19
db5f7d18-7185-4242-8b94-2802b14cbac3,Jacqueline,Lyons,1975-08-19,Other,kent65@example.net,+1-362-949-1512x673,"457 Little Street, West Robertside, NC 31367",Gonzalesview,Marshall Islands,Artist,high,2022-03-11
e4faf383-06c0-4a8a-a8f1-ceed3e73fa96,Christine,Snow,1978-01-06,Male,madams@example.org,(648)817-5530,"22843 Joseph Place, West Eric, HI 90758",Callahanbury,Paraguay,Artist,high,2022-01-27
2839bb50-1fa3-4ca0-bf7a-32128d03eca8,Jane,Mclaughlin,1958-05-08,Male,philliparias@example.com,789.682.8752x0662,"303 Jeffrey Causeway Suite 882, Halemouth, MI 79726",Kemphaven,Taiwan,Teacher,middle,2020-01-02
9875831d-6bdd-43c6-a2ca-8411aca76231,Kenneth,Mann,1992-12-31,Male,brookstrevor@example.org,391-586-8983,"86353 Jonathon Manor, Michaelstad, FM 58823",East Anna,Gambia,Doctor,high,2021-12-20
bfda43bc-d7a0-40c6-ace9-238d53f9ce20,Tracy,Macdonald,1971-03-21,Male,rebecca03@example.org,407-864-7151x66560,"8313 Joann Mills, West Edward, IA 72944",Pattersonhaven,Saint Lucia,Teacher,middle,2020-08-04
20bfb19a-7aa1-4c00-8808-7340ca6ce88b,Andrea,Patel,1956-11-07,Male,rickyhenderson@example.net,001-416-548-1346x0914,"1892 Jill View Apt. 216, Port Nathan, RI 11178",Port Mariaside,Georgia,Artist,middle,2023-06-28
107397ae-79ac-41a2-896a-ffc111bf3157,Michael,Jones,1972-06-30,Male,rasmussenashlee@example.org,4666229604,"PSC 6308, Box 6352, APO AP 04400",Port Amy,Philippines,Doctor,middle,2022-11-05
21d97b16-ccc1-48c0-8d79-56d859a2f147,Matthew,Hill,1971-11-21,Other,ifarrell@example.net,+1-969-258-9837,"254 Jenna Spurs, Lake Jeffrey, TX 23427",Lake Todd,Mali,Lawyer,middle,2024-01-05
01bc6596-c250-4e8b-bad6-57f693cbdcb9,Bobby,Walker,1974-02-09,Other,ltran@example.net,001-701-869-1485,"88544 Barnes Mountain, Lake Anthonyview, GA 57551",West Vanessa,Sri Lanka,Lawyer,high,2022-03-28
6041bce5-5bd2-48bb-821d-b58b056ebc85,Joel,Meadows,1991-08-28,Male,brownantonio@example.net,+1-833-828-6889,"129 Michelle Street Suite 387, Jamesstad, AR 56214",Sanchezside,Moldova,Teacher,middle,2024-03-21
2fb17510-7c3c-4bd7-a573-f8b69fbc77e1,Erin,Gonzalez,1958-03-06,Female,dianaanderson@example.net,293.970.4438x58073,"9854 Lauren Estate Suite 425, North Sarah, WI 70046",Brownborough,Mayotte,Teacher,low,2023-03-24
9303efa3-e50f-48cf-97a9-6cceb7e61e43,Benjamin,Nelson,1981-07-08,Other,williamslinda@example.org,456-688-9154,"USNS Williams, FPO AE 73079",South Timothy,Vanuatu,Artist,middle,2023-08-08
773fa8a6-3988-4219-aae3-127fefce2606,Nicholas,Patel,1985-06-19,Other,hoganpaul@example.net,220-602-2969,"1401 Cox Extensions Suite 281, Kingchester, NV 39390",North Anitaborough,Saint Helena,Teacher,low,2024-04-29
018ba0b3-67fe-4449-b374-4dcf73093d5a,Alice,Martin,2001-03-21,Other,nguyenzachary@example.org,656-340-7447x0993,"0022 Ryan Crescent Apt. 151, Danieltown, VI 41584",Michaelstad,Mayotte,Lawyer,low,2023-08-07
715121e3-b8f1-4682-ba9d-52b580454c97,Paul,Johnson,1984-07-15,Female,michaelcruz@example.net,529-379-1831,"407 Warren Shore Apt. 500, Ethanfurt, OR 67307",Elizabethhaven,Suriname,Artist,high,2022-05-06
8ff9af2d-4f2f-4ce4-83cd-2234fa374442,Megan,Molina,1981-03-04,Other,tmartinez@example.net,424-434-6401x921,"4401 Corey Hollow, East Gina, NC 26147",West Timothymouth,Serbia,Teacher,low,2021-06-17
2af3f8d4-cd3f-49d2-8c0a-59f8ab9dccb9,Robert,Alvarez,2004-08-21,Male,matthew63@example.org,2334117539,"0758 Robin Village Apt. 393, Lake Tammyshire, NH 78832",Mooreside,Belize,Doctor,high,2023-02-26
ad527227-5300-4c8a-9c9d-f34ca4b0e6f5,Teresa,Taylor,1956-11-05,Male,deckermatthew@example.net,443-940-9884x4467,"427 Peterson Stravenue Suite 055, Lake Edwardborough, WA 61240",Cunninghammouth,Falkland Islands (Malvinas),Artist,low,2022-11-11
2f57fc33-0ecb-4a08-b6d1-b4f99b0625af,Michael,Lewis,1947-11-22,Male,haley73@example.org,(845)411-5387x60265,"44723 Walter Place Suite 383, Lake Robertburgh, MP 54650",Jeffreyberg,Bhutan,Lawyer,middle,2021-02-27
38340df8-7b8a-4f40-a65f-1827af5d207d,Sandra,Lawrence,1981-01-10,Female,mortonbrandon@example.org,5182057884,"7385 White Circles Apt. 275, Lake Markhaven, DC 97921",West April,Colombia,Artist,high,2024-06-27
68fa83db-f8fa-4ecb-9697-1187cbb3048f,Steven,Liu,1949-12-15,Other,spencerpeter@example.net,459-536-0671,"01704 Myers Skyway, West Joseph, TX 38474",Royfurt,Burundi,Lawyer,middle,2020-12-02
0e7b7aef-e12e-4729-9c55-bfa941ffa96b,Dana,Thompson,1951-10-23,Female,wprice@example.org,001-714-543-0891x02517,"9422 Jennifer Path Apt. 787, Richardfort, TX 27500",New Danielchester,Guatemala,Lawyer,low,2024-02-15
374f8d56-9ee2-46f7-9a9e-a747f3960968,Jason,Conley,1983-01-07,Other,lewisjasmine@example.org,001-375-367-6100,"26607 Black Valleys Apt. 339, North Emmaburgh, MN 15599",Gregoryburgh,Cameroon,Doctor,low,2021-09-29
28020b50-92b3-4a8e-82b5-55e31e1f5075,Barbara,Davis,1964-10-08,Female,alexandrazuniga@example.com,4845506186,"5034 Andrew Square Apt. 232, Port Jeremiahfort, MT 81953",Dawnland,Belize,Teacher,high,2022-07-30
18196a72-941d-4156-8684-6ee3be5ee3ad,Danielle,Cooke,1945-12-04,Other,cfernandez@example.net,619-702-6042x197,"077 Nicole Knolls Apt. 853, Georgefort, ME 61591",Romanport,Moldova,Teacher,high,2022-12-25
8b6223ab-2849-4d4b-b9d2-ee7785203f5c,Shannon,Austin,1986-08-20,Female,clifford97@example.net,(845)732-9766,"8488 Christopher Drives, New Michael, ME 09442",New Robert,Lesotho,Doctor,high,2021-03-06
fa74376b-84ea-4315-83f6-da4e127772aa,Charles,Williams,1985-03-12,Other,hjones@example.com,001-238-221-9279x72813,"98034 Guzman Brook Apt. 306, Kimberlyhaven, MT 76071",Port Larryfurt,Cameroon,Engineer,middle,2022-01-06
53f38c65-eb26-4a26-89bd-a882209b5c43,Amber,Bean,1985-04-24,Other,cody49@example.org,238-889-0322,"3237 Christopher Center, South Nathaniel, MO 92158",West Charles,American Samoa,Lawyer,high,2022-02-02
bea6c8e6-f00b-45c2-97e3-c56ed7b8efa2,George,Walters,1967-09-08,Other,antonio44@example.net,(345)794-1466x54601,"000 Sean Vista, South Patricia, IA 71368",Patrickberg,Cayman Islands,Doctor,middle,2022-04-15
9b0ba3a9-0b55-47b7-b0f4-f83fb2b1ea8c,Chelsea,Griffin,1977-07-08,Other,rwolfe@example.org,(653)941-5115,"120 Linda Union, New Andreahaven, PW 77637",Curryland,British Virgin Islands,Teacher,high,2022-03-25
1c698645-b0d5-41a9-8b19-a23f2765b4cf,Natalie,Harper,1988-04-17,Male,huntgrace@example.org,368.929.2071,"86545 Timothy Shoal, Hallfort, NY 07080",West Jamesberg,Solomon Islands,Artist,high,2023-10-06
b594cdd1-5b47-49c7-86ca-151029257560,Fred,Flores,2000-09-13,Female,powellmichael@example.org,+1-987-582-5018x630,"94660 Kennedy Loaf Suite 021, Steveside, MT 96172",Shawhaven,Saint Pierre and Miquelon,Engineer,high,2024-01-23
ed5b774f-6d37-4a7b-bcd8-f17943ea50ab,Rebecca,Winters,1944-08-17,Male,worr@example.net,753.537.5936,"59052 Tucker Road Apt. 012, Markview, PW 25908",Griffintown,American Samoa,Doctor,high,2021-11-01
f7499328-daf3-49e5-8687-96448a3737ed,Steven,King,1982-11-24,Other,haynesangel@example.com,5955843627,"2002 Richard Island Suite 049, New Michelle, KS 37232",West Andreabury,Cape Verde,Teacher,middle,2022-07-09
0946e4d9-1b5a-4195-9595-83651e7a8936,Brandon,Floyd,1983-05-30,Male,charlesmendoza@example.com,(826)981-1318,"304 Jeffrey Hills Suite 962, Danielsbury, VA 96901",West Joshua,Finland,Teacher,high,2020-05-06
98567c88-14f2-462b-b480-aeb139a4d202,Melissa,Houston,1988-01-28,Other,amanda45@example.net,+1-538-283-3599x80817,"6681 Kimberly Spring, Lake Monica, GA 58770",Lake Amber,American Samoa,Doctor,low,2022-02-28
59d63d84-3828-4389-8d34-28333efa4100,Mary,Smith,1983-12-01,Other,emmacollins@example.org,(662)365-6513,"90918 Erik Roads, Lake Coltonton, VI 94413",Cherryport,Norfolk Island,Lawyer,low,2021-06-03
46dd4a08-d515-4920-b780-ccd095534e55,Ronald,Chaney,1997-04-04,Male,ihopkins@example.com,501-573-4848x3467,"673 Stout Viaduct, North Kaylamouth, TX 36026",East Caroline,Niue,Doctor,low,2022-08-16
5456eee4-b9af-4bbc-b49a-776c9d7be9db,David,Young,1998-05-13,Other,porterlisa@example.com,001-826-599-7134x7913,"2228 Charles Bypass Suite 444, West Tonyaview, IA 35492",Howechester,Faroe Islands,Engineer,low,2021-03-30
7d4dcbce-83aa-4fea-af4a-3780d4371443,Brenda,Richards,1976-08-01,Other,william15@example.net,(850)212-8379x310,"Unit 4637 Box 3168, DPO AP 91810",Donaldburgh,Algeria,Doctor,middle,2023-09-10
eb151c29-486d-41fa-9886-285b3ee751d4,Brandon,Preston,2003-05-09,Female,dlane@example.com,(386)390-7305,"USNV Carey, FPO AE 98087",West Robert,Niger,Artist,middle,2022-09-17
9889cc89-925b-4738-8fed-52ff6c8ad2b0,Amanda,Lewis,1970-06-30,Female,davisamy@example.org,9933787013,"30991 Michelle Center Suite 644, West Jessicamouth, NE 05661",Cynthiaton,Liberia,Artist,middle,2021-08-20
